"","buffer_moran","grassslope_moran","hedge_moran","notill_moran","linE","buffer_share_con","grassslope_share_con","hedge_share_con","notill_share_con","lu_share","buffer_channel_frac","grassslope_channel_frac","notill_channel_frac"
"buffer_moran",1,0.0715425313228585,0.0370478834999931,-0.246618955130185,-0.265490890752696,-0.856010967669729,0.0728918914135663,-0.0370478834999931,-0.273730223353667,-0.315016805944811,0.20640302116134,0.0728216104247187,0.0802333906293581
"grassslope_moran",0.0715425313228585,1,0.0205823387188796,-0.00159066770260521,0.154749286473148,-0.087090660588445,0.985543672391557,-0.0205823387188796,-0.116780432158422,0.420050320895395,-0.0316236093469336,0.97033443170775,0.00499940303149842
"hedge_moran",0.0370478834999931,0.0205823387188796,1,-0.0426839906651178,-0.0557733885097685,-0.0857181611646726,0.0189992211384291,-1,-0.0463573527870964,-0.0258264088784588,-0.0928005576912167,0.0181372246096792,0.020569405649294
"notill_moran",-0.246618955130185,-0.00159066770260521,-0.0426839906651178,1,0.0877163894284901,0.464278921194071,0.000184112603651001,0.0426839906651178,0.974676031689239,-0.262577454539483,0.036184088704764,0.000956338544201846,0.0853000415721538
"linE",-0.265490890752696,0.154749286473148,-0.0557733885097685,0.0877163894284901,1,0.340185628944283,0.148547802503508,0.0557733885097685,0.0672585572835926,0.162666708663357,-0.0893050645788944,0.144501346927507,-0.0388925491402755
"buffer_share_con",-0.856010967669729,-0.087090660588445,-0.0857181611646726,0.464278921194071,0.340185628944283,1,-0.0910067643926545,0.0857181611646726,0.497671763876954,0.0689210032223217,-0.229627540086926,-0.0918920172660887,-0.100047703076187
"grassslope_share_con",0.0728918914135663,0.985543672391557,0.0189992211384291,0.000184112603651001,0.148547802503508,-0.0910067643926545,1,-0.0189992211384291,-0.119425696504961,0.412368531522961,-0.0371200889508969,0.997267437856533,0.00679134962478488
"hedge_share_con",-0.0370478834999931,-0.0205823387188796,-1,0.0426839906651178,0.0557733885097685,0.0857181611646726,-0.0189992211384291,1,0.0463573527870964,0.0258264088784588,0.0928005576912167,-0.0181372246096792,-0.020569405649294
"notill_share_con",-0.273730223353667,-0.116780432158422,-0.0463573527870964,0.974676031689239,0.0672585572835926,0.497671763876954,-0.119425696504961,0.0463573527870964,1,-0.297282823760969,0.0280955539692885,-0.119500002589742,0.00331280766044541
"lu_share",-0.315016805944811,0.420050320895395,-0.0258264088784588,-0.262577454539483,0.162666708663357,0.0689210032223217,0.412368531522961,0.0258264088784588,-0.297282823760969,1,0.0630890081137755,0.405292650285165,-0.0334010736151391
"buffer_channel_frac",0.20640302116134,-0.0316236093469336,-0.0928005576912167,0.036184088704764,-0.0893050645788944,-0.229627540086926,-0.0371200889508969,0.0928005576912167,0.0280955539692885,0.0630890081137755,1,-0.0391813934008294,-0.0434281773301589
"grassslope_channel_frac",0.0728216104247187,0.97033443170775,0.0181372246096792,0.000956338544201846,0.144501346927507,-0.0918920172660887,0.997267437856533,-0.0181372246096792,-0.119500002589742,0.405292650285165,-0.0391813934008294,1,0.00751135646728139
"notill_channel_frac",0.0802333906293581,0.00499940303149842,0.020569405649294,0.0853000415721538,-0.0388925491402755,-0.100047703076187,0.00679134962478488,-0.020569405649294,0.00331280766044541,-0.0334010736151391,-0.0434281773301589,0.00751135646728139,1
